texte,individu,lieu,moment
"À cet instant précis, le gardien du stade tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à 11, rue de Masson, 10094 François.",le gardien du stade,"11, rue de Masson, 10094 François",au lever du jour
"Vincent Baudry jeta un coup d’œil inquiet derrière lui, puis pressa le pas. C’était le Thursday 20 December 2018 à 20h57.",Vincent Baudry,"67, boulevard Paul, 45652 Dupont",le Thursday 20 December 2018 à 20h57
Frédéric Louis s’effaça dans l’ombre d’un porche sans prononcer un mot. C’était un dimanche pluvieux.,Frédéric Louis,le hall d’un immeuble,un dimanche pluvieux
tourna plusieurs fois sur lui-même avant de fixer longuement un arbre. C’était pendant la pause déjeuner.,,"6, rue Dufour, 62135 Mendès",pendant la pause déjeuner
Jacques Gauthier de Garcia s’effaça dans l’ombre d’un porche sans prononcer un mot. C’était .,Jacques Gauthier de Garcia,,
"déploya un petit tapis sur le sol et s’assit en tailleur, ce fut tout ce qu’on vit de le chauffeur du bus 38.",le chauffeur du bus 38,"36, avenue de Michaud, 35134 Maréchal",un dimanche pluvieux
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de Sébastien Fournier.",Sébastien Fournier,un parc désert,en pleine nuit
une silhouette encapuchonnée poussa un cri bref avant de disparaître entre deux voitures.,une silhouette encapuchonnée,la plage,en début d'après-midi
le livreur en retard tapota un lampadaire de la paume comme pour vérifier sa solidité.,le livreur en retard,"9, rue de Allain, 77885 Saint Simoneboeuf",le Monday 23 September 2019 à 05h24
"au lever du jour, s’accroupit pour observer quelque chose au sol, l’air perplexe.",,"89, boulevard de Samson, 07464 Fernandes",au lever du jour
"un agent municipal s’accroupit pour observer quelque chose au sol, l’air perplexe sans attirer l’attention à 12, chemin Émile Menard, 59609 Étienne.",un agent municipal,"12, chemin Émile Menard, 59609 Étienne",le Sunday 06 September 2020 à 20h41
"Nul ne sut pourquoi Amélie Hamon laissa tomber un trousseau de clés sans s’en apercevoir, .",Amélie Hamon,,
Adrien Diaz-Salmon s’effaça dans l’ombre d’un porche sans prononcer un mot.,Adrien Diaz-Salmon,,le Sunday 21 April 2024 à 19h56
"un homme à la veste usée dans une route de campagne, en début d'après-midi, s’effaça dans l’ombre d’un porche sans prononcer un mot.",un homme à la veste usée,une route de campagne,en début d'après-midi
Olivie Gros-Fleury tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.,Olivie Gros-Fleury,"9, rue Constance Arnaud, 49680 Mary",
tourna plusieurs fois sur lui-même avant de fixer longuement un arbre. C’était le Saturday 23 September 2017 à 04h38.,,un parc désert,le Saturday 23 September 2017 à 04h38
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de Aimé Fernandes-Ferreira.",Aimé Fernandes-Ferreira,un parc désert,le Friday 22 July 2016 à 01h15
"À cet instant précis, Léon Carlier tapota un lampadaire de la paume comme pour vérifier sa solidité à rue de Pineau, 40971 Fabre.",Léon Carlier,"rue de Pineau, 40971 Fabre",juste après le coucher du soleil
"Nul ne sut pourquoi Geneviève Dufour déploya un petit tapis sur le sol et s’assit en tailleur, à la sortie des bureaux.",Geneviève Dufour,,à la sortie des bureaux
"Adèle Carre Le Pineau , , tapota un lampadaire de la paume comme pour vérifier sa solidité.",Adèle Carre Le Pineau,,
"Stéphanie Breton laissa tomber un trousseau de clés sans s’en apercevoir sans attirer l’attention à 53, chemin Roche, 70096 Boutindan.",Stéphanie Breton,"53, chemin Roche, 70096 Boutindan",
"Dans le silence, le pharmacien de garde s’accroupit pour observer quelque chose au sol, l’air perplexe .",le pharmacien de garde,,
"tapota un lampadaire de la paume comme pour vérifier sa solidité, ce fut tout ce qu’on vit de Éléonore-Aurore Picard.",Éléonore-Aurore Picard,le vieux marché,le Monday 29 November 2021 à 22h46
"Dans le silence, Pauline-Marcelle Brun fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement à 50, rue Hernandez, 47310 RogerVille.",Pauline-Marcelle Brun,"50, rue Hernandez, 47310 RogerVille",vers l’heure bleue
"Amélie Grondin dans une route de campagne, le Friday 30 December 2016 à 19h12, poussa un cri bref avant de disparaître entre deux voitures.",Amélie Grondin,une route de campagne,le Friday 30 December 2016 à 19h12
"Dans le silence, Marc Leconte-Colin tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à boulevard de Lemoine, 37489 MorenoVille.",Marc Leconte-Colin,"boulevard de Lemoine, 37489 MorenoVille",
"Sans dire un mot, la vieille dame au chapeau rouge fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement à 56, rue Julien Bertin, 33515 HamelBourg.",la vieille dame au chapeau rouge,"56, rue Julien Bertin, 33515 HamelBourg",à la sortie des bureaux
"À cet instant précis, David Albert ouvrit un sac en plastique et en sortit une petite boîte en métal dans une route de campagne.",David Albert,une route de campagne,le Sunday 27 November 2022 à 01h47
"tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, ce fut tout ce qu’on vit de .",,"15, rue Coste, 18515 CosteBourg",le Tuesday 14 January 2025 à 22h42
"Nul ne sut pourquoi tapota un lampadaire de la paume comme pour vérifier sa solidité, le Monday 01 May 2017 à 12h58.",,un café du coin,le Monday 01 May 2017 à 12h58
"tapota un lampadaire de la paume comme pour vérifier sa solidité, ce fut tout ce qu’on vit de un agent municipal.",un agent municipal,un arrêt de bus,le Saturday 28 December 2019 à 17h43
"Nul ne sut pourquoi Marthe Dijoux s’effaça dans l’ombre d’un porche sans prononcer un mot, pendant la pause déjeuner.",Marthe Dijoux,,pendant la pause déjeuner
"À cet instant précis, Auguste Adam fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement à rue de Pineau, 40971 Fabre.",Auguste Adam,"rue de Pineau, 40971 Fabre",le Monday 29 June 2020 à 23h40
"le livreur en retard dans la cour d’une école, le Wednesday 16 August 2017 à 23h53, ouvrit un sac en plastique et en sortit une petite boîte en métal.",le livreur en retard,la cour d’une école,le Wednesday 16 August 2017 à 23h53
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de Susan Laurent.",Susan Laurent,,pendant la pause déjeuner
"pendant la pause déjeuner, laissa tomber un trousseau de clés sans s’en apercevoir.",,le hall d’un immeuble,pendant la pause déjeuner
le gardien du stade tapota un lampadaire de la paume comme pour vérifier sa solidité.,le gardien du stade,"42, boulevard de Joseph, 06503 Saint ÉricVille",un matin d'hiver
"un matin d'hiver, s’accroupit pour observer quelque chose au sol, l’air perplexe.",,"632, rue de Cousin, 84993 Aubert",un matin d'hiver
"tapota un lampadaire de la paume comme pour vérifier sa solidité, ce fut tout ce qu’on vit de .",,"1, chemin Gilles Antoine, 88050 Sainte Étiennenec",le Monday 11 September 2017 à 07h17
"Charlotte Martin du Noël jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Charlotte Martin du Noël,le bord d’un canal,
"Dans le silence, Jérôme Renard poussa un cri bref avant de disparaître entre deux voitures dans un parc désert.",Jérôme Renard,un parc désert,le Saturday 23 March 2019 à 03h12
"Sans dire un mot, laissa tomber un trousseau de clés sans s’en apercevoir à 118, rue de Brun, 35247 DidierBourg.",,"118, rue de Brun, 35247 DidierBourg",en début d'après-midi
"Nul ne sut pourquoi poussa un cri bref avant de disparaître entre deux voitures, le Friday 05 August 2022 à 21h28.",,un café du coin,le Friday 05 August 2022 à 21h28
"Robert Robert-Arnaud jeta un coup d’œil inquiet derrière lui, puis pressa le pas. C’était .",Robert Robert-Arnaud,"535, boulevard de Gaudin, 71270 Grégoire",
"Sans dire un mot, Martin de la Perrin fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement dans la plage.",Martin de la Perrin,la plage,tard dans la soirée
"Sans dire un mot, Denise Mercier Le Hardy laissa tomber un trousseau de clés sans s’en apercevoir à 8, boulevard de François, 86857 Barthelemy-les-Bains.",Denise Mercier Le Hardy,"8, boulevard de François, 86857 Barthelemy-les-Bains",le Saturday 27 June 2020 à 13h45
Raymond Baudry tapota un lampadaire de la paume comme pour vérifier sa solidité.,Raymond Baudry,un arrêt de bus,tard dans la soirée
"À cet instant précis, Adèle Torres jeta un coup d’œil inquiet derrière lui, puis pressa le pas .",Adèle Torres,,à la sortie des bureaux
Brigitte Gay déploya un petit tapis sur le sol et s’assit en tailleur.,Brigitte Gay,"68, rue de Huet, 19905 Sainte JoséphineBourg",le Tuesday 05 December 2017 à 06h06
"le Tuesday 04 February 2020 à 21h58, Bertrand Gaudin déploya un petit tapis sur le sol et s’assit en tailleur.",Bertrand Gaudin,,le Tuesday 04 February 2020 à 21h58
un agent municipal s’effaça dans l’ombre d’un porche sans prononcer un mot. C’était le Saturday 20 April 2024 à 15h36.,un agent municipal,,le Saturday 20 April 2024 à 15h36
"Sans dire un mot, laissa tomber un trousseau de clés sans s’en apercevoir à 8, boulevard de Dijoux, 54394 Boulanger.",,"8, boulevard de Dijoux, 54394 Boulanger",en début d'après-midi
la responsable du centre d'accueil ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était le Tuesday 05 January 2016 à 21h46.,la responsable du centre d'accueil,"12, chemin Margaux Dias, 07001 Marion",le Tuesday 05 January 2016 à 21h46
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de le livreur en retard.",le livreur en retard,"27, avenue de Baron, 54214 Sainte Amélie",le Sunday 20 August 2017 à 21h52
"Frédérique Regnier déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention à 271, avenue Rousseau, 21321 Lejeunedan.",Frédérique Regnier,"271, avenue Rousseau, 21321 Lejeunedan",le Tuesday 10 January 2017 à 18h00
"tard dans la soirée, Margaret Dias poussa un cri bref avant de disparaître entre deux voitures.",Margaret Dias,un café du coin,tard dans la soirée
"Sans dire un mot, Audrey Chauveau-Pruvost ouvrit un sac en plastique et en sortit une petite boîte en métal dans le vieux marché.",Audrey Chauveau-Pruvost,le vieux marché,pendant la pause déjeuner
"au lever du jour, Susan Blot tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.",Susan Blot,,au lever du jour
Danielle Fischer tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.,Danielle Fischer,une route de campagne,en début d'après-midi
"Laurent Berthelot s’accroupit pour observer quelque chose au sol, l’air perplexe.",Laurent Berthelot,le bord d’un canal,pendant la pause déjeuner
Amélie de Hamel s’effaça dans l’ombre d’un porche sans prononcer un mot. C’était en pleine nuit.,Amélie de Hamel,"63, rue de Le Gall, 63928 Valette",en pleine nuit
"Sans dire un mot, un agent municipal laissa tomber un trousseau de clés sans s’en apercevoir à 9, rue de Gonzalez, 20566 Pichon.",un agent municipal,"9, rue de Gonzalez, 20566 Pichon",le Wednesday 15 May 2024 à 14h33
"À cet instant précis, Inès Voisin ouvrit un sac en plastique et en sortit une petite boîte en métal à 15, chemin de Breton, 80271 Saint HenriBourg.",Inès Voisin,"15, chemin de Breton, 80271 Saint HenriBourg",tard dans la soirée
"Sans dire un mot, jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans le hall d’un immeuble.",,le hall d’un immeuble,un dimanche pluvieux
"Nul ne sut pourquoi Gabrielle Mercier-Lévy s’accroupit pour observer quelque chose au sol, l’air perplexe, le Sunday 16 August 2015 à 23h25.",Gabrielle Mercier-Lévy,"43, avenue de Martel, 31268 Guérin-les-Bains",le Sunday 16 August 2015 à 23h25
"Colette Grégoire dans le bord d’un canal, le Wednesday 22 January 2025 à 09h24, déploya un petit tapis sur le sol et s’assit en tailleur.",Colette Grégoire,le bord d’un canal,le Wednesday 22 January 2025 à 09h24
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de Valentine-Diane Grégoire.",Valentine-Diane Grégoire,"814, chemin de Bonnet, 98038 Guilbert",
"Nul ne sut pourquoi s’accroupit pour observer quelque chose au sol, l’air perplexe, le Wednesday 18 April 2018 à 06h21.",,un arrêt de bus,le Wednesday 18 April 2018 à 06h21
"Dans le silence, Jacques-Honoré Vincent laissa tomber un trousseau de clés sans s’en apercevoir dans le bord d’un canal.",Jacques-Honoré Vincent,le bord d’un canal,
Pierre Dos Santos tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention dans un café du coin.,Pierre Dos Santos,un café du coin,au lever du jour
"le chauffeur du bus 38 s’accroupit pour observer quelque chose au sol, l’air perplexe sans attirer l’attention dans un café du coin.",le chauffeur du bus 38,un café du coin,le Friday 17 February 2017 à 20h11
"Dans le silence, Olivier Goncalves tapota un lampadaire de la paume comme pour vérifier sa solidité .",Olivier Goncalves,,en début d'après-midi
"Dans le silence, ouvrit un sac en plastique et en sortit une petite boîte en métal .",,,un matin d'hiver
une passante inconnue laissa tomber un trousseau de clés sans s’en apercevoir. C’était pendant la pause déjeuner.,une passante inconnue,"95, boulevard Marguerite Auger, 77932 Buisson",pendant la pause déjeuner
André Schmitt ouvrit un sac en plastique et en sortit une petite boîte en métal sans attirer l’attention .,André Schmitt,,en début d'après-midi
Frédérique Bonneau-Cousin tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était en pleine nuit.,Frédérique Bonneau-Cousin,"45, avenue de Fontaine, 48739 GauthierVille",en pleine nuit
"à la sortie des bureaux, la vieille dame au chapeau rouge tapota un lampadaire de la paume comme pour vérifier sa solidité.",la vieille dame au chapeau rouge,la cour d’une école,à la sortie des bureaux
"Sans dire un mot, Charlotte Toussaint-Rolland tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à 50, rue Isaac Chauvin, 71516 Saint Timothée.",Charlotte Toussaint-Rolland,"50, rue Isaac Chauvin, 71516 Saint Timothée",le Wednesday 20 March 2024 à 09h09
"Dans le silence, s’effaça dans l’ombre d’un porche sans prononcer un mot dans un arrêt de bus.",,un arrêt de bus,le Monday 14 June 2021 à 03h03
"Sans dire un mot, Vincent Meyer ouvrit un sac en plastique et en sortit une petite boîte en métal dans le hall d’un immeuble.",Vincent Meyer,le hall d’un immeuble,vers l’heure bleue
"Sans dire un mot, Gilbert Blanc ouvrit un sac en plastique et en sortit une petite boîte en métal .",Gilbert Blanc,,le Sunday 26 November 2017 à 16h05
"Dans le silence, le chauffeur du bus 38 laissa tomber un trousseau de clés sans s’en apercevoir .",le chauffeur du bus 38,,en pleine nuit
"le Wednesday 11 May 2022 à 07h25, Guillaume-Patrick Lopes laissa tomber un trousseau de clés sans s’en apercevoir.",Guillaume-Patrick Lopes,le hall d’un immeuble,le Wednesday 11 May 2022 à 07h25
"un agent municipal jeta un coup d’œil inquiet derrière lui, puis pressa le pas. C’était un dimanche pluvieux.",un agent municipal,"90, rue Thibaut Masson, 54563 Rousseau",un dimanche pluvieux
Christophe de François tourna plusieurs fois sur lui-même avant de fixer longuement un arbre. C’était le Wednesday 01 November 2017 à 17h26.,Christophe de François,"509, boulevard Emmanuelle Pelletier, 58328 Saint Arnaudenec",le Wednesday 01 November 2017 à 17h26
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de Maryse Verdier.",Maryse Verdier,,le Monday 27 January 2025 à 22h48
Élodie Bonnin de Maillet déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention dans le hall d’un immeuble.,Élodie Bonnin de Maillet,le hall d’un immeuble,pendant la pause déjeuner
", le livreur en retard déploya un petit tapis sur le sol et s’assit en tailleur.",le livreur en retard,"40, chemin de Michaud, 93279 Cordier-les-Bains",
"Sans dire un mot, déploya un petit tapis sur le sol et s’assit en tailleur dans la plage.",,la plage,
"Dans le silence, la responsable du centre d'accueil laissa tomber un trousseau de clés sans s’en apercevoir à 226, rue Robin, 42585 Lucasnec.",la responsable du centre d'accueil,"226, rue Robin, 42585 Lucasnec",le Sunday 18 August 2019 à 19h08
"Dans le silence, Thomas Guyon jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans le bord d’un canal.",Thomas Guyon,le bord d’un canal,le Tuesday 10 January 2017 à 18h00
"ouvrit un sac en plastique et en sortit une petite boîte en métal, ce fut tout ce qu’on vit de le chauffeur du bus 38.",le chauffeur du bus 38,le hall d’un immeuble,le Saturday 04 April 2020 à 09h32
"Dans le silence, la responsable du centre d'accueil s’accroupit pour observer quelque chose au sol, l’air perplexe .",la responsable du centre d'accueil,,un dimanche pluvieux
"vers l’heure bleue, le gardien du stade jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",le gardien du stade,le hall d’un immeuble,vers l’heure bleue
"Christophe Da Silva à 84, boulevard Renard, 22223 Saint Timothée-les-Bains, le Monday 05 September 2016 à 10h08, poussa un cri bref avant de disparaître entre deux voitures.",Christophe Da Silva,"84, boulevard Renard, 22223 Saint Timothée-les-Bains",le Monday 05 September 2016 à 10h08
"Dans le silence, le chauffeur du bus 38 tapota un lampadaire de la paume comme pour vérifier sa solidité dans le bord d’un canal.",le chauffeur du bus 38,le bord d’un canal,vers l’heure bleue
André Le Delannoy tapota un lampadaire de la paume comme pour vérifier sa solidité.,André Le Delannoy,"8, avenue de Voisin, 92603 Saint Henriette",pendant la pause déjeuner
"À cet instant précis, le gardien du stade s’effaça dans l’ombre d’un porche sans prononcer un mot dans la cour d’une école.",le gardien du stade,la cour d’une école,le Thursday 30 November 2017 à 09h35
"Nul ne sut pourquoi déploya un petit tapis sur le sol et s’assit en tailleur, le Tuesday 31 May 2016 à 14h23.",,"571, rue de Masse, 52362 Bourdon",le Tuesday 31 May 2016 à 14h23
"dans la cour d’une école, le Monday 30 May 2016 à 16h12, s’effaça dans l’ombre d’un porche sans prononcer un mot.",,la cour d’une école,le Monday 30 May 2016 à 16h12
"Nul ne sut pourquoi laissa tomber un trousseau de clés sans s’en apercevoir, le Sunday 06 December 2020 à 00h44.",,une route de campagne,le Sunday 06 December 2020 à 00h44
"Sans dire un mot, tapota un lampadaire de la paume comme pour vérifier sa solidité à 22, rue de Lelièvre, 22836 Sainte Hortense.",,"22, rue de Lelièvre, 22836 Sainte Hortense",le Monday 24 October 2016 à 11h18
", Frédéric Payet poussa un cri bref avant de disparaître entre deux voitures.",Frédéric Payet,la cour d’une école,
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de le chauffeur du bus 38.",le chauffeur du bus 38,"99, rue Mahe, 92957 Perrierdan",le Monday 15 January 2024 à 15h15
Matthieu Mahe tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention dans la cour d’une école.,Matthieu Mahe,la cour d’une école,le Tuesday 05 January 2016 à 21h46
un homme à la veste usée ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était vers l’heure bleue.,un homme à la veste usée,un arrêt de bus,vers l’heure bleue
"Sans dire un mot, Charlotte Grenier ouvrit un sac en plastique et en sortit une petite boîte en métal dans la gare centrale.",Charlotte Grenier,la gare centrale,vers l’heure bleue
"À cet instant précis, un agent municipal jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 21, avenue de Petitjean, 21522 Benardboeuf.",un agent municipal,"21, avenue de Petitjean, 21522 Benardboeuf",
"Nul ne sut pourquoi Gérard Guichard jeta un coup d’œil inquiet derrière lui, puis pressa le pas, à la sortie des bureaux.",Gérard Guichard,"3, chemin Océane Alves, 44948 Nguyen",à la sortie des bureaux
"Alphonse de la Gaudin , un matin d'hiver, s’accroupit pour observer quelque chose au sol, l’air perplexe.",Alphonse de la Gaudin,,un matin d'hiver
", poussa un cri bref avant de disparaître entre deux voitures.",,,
"Sans dire un mot, poussa un cri bref avant de disparaître entre deux voitures .",,,le Thursday 17 November 2016 à 21h04
"Marc Daniel , le Wednesday 28 October 2020 à 08h12, poussa un cri bref avant de disparaître entre deux voitures.",Marc Daniel,,le Wednesday 28 October 2020 à 08h12
"le Wednesday 12 April 2017 à 16h10, Lucas Fleury tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.",Lucas Fleury,"67, rue de Jacquot, 76515 BodinBourg",le Wednesday 12 April 2017 à 16h10
une silhouette encapuchonnée tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention dans un parc désert.,une silhouette encapuchonnée,un parc désert,le Sunday 23 October 2022 à 01h21
"Sans dire un mot, le gardien du stade tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à 110, boulevard Collet, 86203 Saint Aurélie.",le gardien du stade,"110, boulevard Collet, 86203 Saint Aurélie",le Thursday 01 November 2018 à 23h49
"le Wednesday 12 July 2023 à 07h44, Élodie Bernard laissa tomber un trousseau de clés sans s’en apercevoir.",Élodie Bernard,,le Wednesday 12 July 2023 à 07h44
"Jérôme Auger dans le bord d’un canal, vers l’heure bleue, ouvrit un sac en plastique et en sortit une petite boîte en métal.",Jérôme Auger,le bord d’un canal,vers l’heure bleue
"Sans dire un mot, le chauffeur du bus 38 s’effaça dans l’ombre d’un porche sans prononcer un mot .",le chauffeur du bus 38,,vers l’heure bleue
"ouvrit un sac en plastique et en sortit une petite boîte en métal sans attirer l’attention à 80, rue Ruiz, 89359 Delahaye.",,"80, rue Ruiz, 89359 Delahaye",en début d'après-midi
Hortense Besnard du Jacques tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était un dimanche pluvieux.,Hortense Besnard du Jacques,"54, avenue Yves Fournier, 71580 Ferrand",un dimanche pluvieux
"Dans le silence, le livreur en retard s’effaça dans l’ombre d’un porche sans prononcer un mot à 271, avenue Rousseau, 21321 Lejeunedan.",le livreur en retard,"271, avenue Rousseau, 21321 Lejeunedan",au lever du jour
"la vieille dame au chapeau rouge jeta un coup d’œil inquiet derrière lui, puis pressa le pas sans attirer l’attention dans la plage.",la vieille dame au chapeau rouge,la plage,un dimanche pluvieux
"Nul ne sut pourquoi Nicole Mary fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, le Thursday 21 December 2017 à 10h37.",Nicole Mary,le bord d’un canal,le Thursday 21 December 2017 à 10h37
"Nul ne sut pourquoi s’accroupit pour observer quelque chose au sol, l’air perplexe, .",,"97, rue Jeanne Boulay, 10646 Berthelot",
"À cet instant précis, le chauffeur du bus 38 fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement dans la gare centrale.",le chauffeur du bus 38,la gare centrale,le Monday 10 June 2019 à 05h11
"Dans le silence, Thibault Tanguy s’accroupit pour observer quelque chose au sol, l’air perplexe .",Thibault Tanguy,,
"Dans le silence, Christophe Lecoq-Guérin tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans la cour d’une école.",Christophe Lecoq-Guérin,la cour d’une école,en début d'après-midi
"le Wednesday 01 May 2024 à 12h07, le chauffeur du bus 38 s’effaça dans l’ombre d’un porche sans prononcer un mot.",le chauffeur du bus 38,"85, boulevard Victor Jacquet, 08917 LesageVille",le Wednesday 01 May 2024 à 12h07
un agent municipal s’effaça dans l’ombre d’un porche sans prononcer un mot.,un agent municipal,la gare centrale,le Friday 14 February 2020 à 04h08
Victor Renard déploya un petit tapis sur le sol et s’assit en tailleur.,Victor Renard,,le Tuesday 06 November 2018 à 02h09
Aurore Legros de Lelièvre laissa tomber un trousseau de clés sans s’en apercevoir.,Aurore Legros de Lelièvre,le vieux marché,le Saturday 15 June 2019 à 20h24
"Nul ne sut pourquoi Laurent Raynaud de Leroux laissa tomber un trousseau de clés sans s’en apercevoir, au lever du jour.",Laurent Raynaud de Leroux,,au lever du jour
"Nul ne sut pourquoi Gabrielle-Célina Leroy fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, tard dans la soirée.",Gabrielle-Célina Leroy,la plage,tard dans la soirée
"Sans dire un mot, déploya un petit tapis sur le sol et s’assit en tailleur à 80, chemin Alphonse Schmitt, 12095 GuillonVille.",,"80, chemin Alphonse Schmitt, 12095 GuillonVille",le Sunday 17 December 2023 à 13h28
"Nul ne sut pourquoi Gérard-Richard Baron laissa tomber un trousseau de clés sans s’en apercevoir, à la sortie des bureaux.",Gérard-Richard Baron,un parc désert,à la sortie des bureaux
"Dans le silence, Thierry Chevallier s’effaça dans l’ombre d’un porche sans prononcer un mot dans le bord d’un canal.",Thierry Chevallier,le bord d’un canal,tard dans la soirée
"Nul ne sut pourquoi Corinne Fernandes jeta un coup d’œil inquiet derrière lui, puis pressa le pas, le Monday 14 November 2016 à 08h56.",Corinne Fernandes,,le Monday 14 November 2016 à 08h56
"Dans le silence, Audrey-Émilie Lemaire fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement à 48, rue Sophie Weiss, 80623 Roux.",Audrey-Émilie Lemaire,"48, rue Sophie Weiss, 80623 Roux",
"Nul ne sut pourquoi s’accroupit pour observer quelque chose au sol, l’air perplexe, le Monday 25 November 2019 à 04h41.",,la cour d’une école,le Monday 25 November 2019 à 04h41
"le Sunday 28 April 2024 à 07h31, Véronique Garcia fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Véronique Garcia,"36, rue Antoine Charpentier, 39735 Pottier-sur-Jourdan",le Sunday 28 April 2024 à 07h31
"tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, ce fut tout ce qu’on vit de Andrée Le Lebon.",Andrée Le Lebon,un parc désert,
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de Michèle Delattre-Carlier.",Michèle Delattre-Carlier,"963, avenue de Gosselin, 94565 Saint DorothéeBourg",le Friday 02 June 2017 à 19h45
"Dans le silence, Alice Jacob s’effaça dans l’ombre d’un porche sans prononcer un mot .",Alice Jacob,,
"Nul ne sut pourquoi la vieille dame au chapeau rouge tapota un lampadaire de la paume comme pour vérifier sa solidité, un dimanche pluvieux.",la vieille dame au chapeau rouge,"77, avenue Sophie Bernier, 81126 Saint Léon",un dimanche pluvieux
"À cet instant précis, le pharmacien de garde s’accroupit pour observer quelque chose au sol, l’air perplexe .",le pharmacien de garde,,le Thursday 18 July 2019 à 22h13
"À cet instant précis, Louis Brunet-Clément laissa tomber un trousseau de clés sans s’en apercevoir dans un café du coin.",Louis Brunet-Clément,un café du coin,un matin d'hiver
Nathalie-Maryse Étienne tapota un lampadaire de la paume comme pour vérifier sa solidité sans attirer l’attention .,Nathalie-Maryse Étienne,,
la responsable du centre d'accueil laissa tomber un trousseau de clés sans s’en apercevoir sans attirer l’attention dans la gare centrale.,la responsable du centre d'accueil,la gare centrale,en pleine nuit
"À cet instant précis, Henri Blin s’effaça dans l’ombre d’un porche sans prononcer un mot dans la cour d’une école.",Henri Blin,la cour d’une école,juste après le coucher du soleil
"Nul ne sut pourquoi Gilbert Ribeiro de Besnard ouvrit un sac en plastique et en sortit une petite boîte en métal, le Saturday 21 November 2020 à 03h13.",Gilbert Ribeiro de Besnard,"rue Legrand, 61632 Delannoy",le Saturday 21 November 2020 à 03h13
"Sans dire un mot, Nathalie Pierre déploya un petit tapis sur le sol et s’assit en tailleur à 80, boulevard Vasseur, 68424 Dubois.",Nathalie Pierre,"80, boulevard Vasseur, 68424 Dubois",le Wednesday 08 June 2016 à 12h50
"Nul ne sut pourquoi Thibaut Pires de la Wagner tapota un lampadaire de la paume comme pour vérifier sa solidité, le Wednesday 27 April 2022 à 00h31.",Thibaut Pires de la Wagner,"boulevard Laurent Moreau, 33542 Sainte Constance-la-Forêt",le Wednesday 27 April 2022 à 00h31
"tard dans la soirée, tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.",,"8, chemin Baron, 44432 Salmon-sur-Mer",tard dans la soirée
"Nul ne sut pourquoi s’effaça dans l’ombre d’un porche sans prononcer un mot, un matin d'hiver.",,"32, chemin Isabelle Menard, 44196 Carpentier-sur-Peron",un matin d'hiver
"À cet instant précis, Roland Delattre-Barre poussa un cri bref avant de disparaître entre deux voitures dans un arrêt de bus.",Roland Delattre-Barre,un arrêt de bus,le Saturday 31 October 2015 à 13h13
"Dans le silence, tapota un lampadaire de la paume comme pour vérifier sa solidité à rue Le Gall, 39313 Weiss.",,"rue Le Gall, 39313 Weiss",vers l’heure bleue
