evenement,lieu,moment,individus,texte
tensions dans une file d’attente,59929,09/2018,un médecin,Un fait divers a marqué les esprits. 59929 serait le le point de départ de l'incident. On évoque 09/2018 comme repère temporel. un médecin a été identifié comme partie prenante.
vol de carte bancaire,"55 boulevard des Frênes, Sarlat",,le neveu,"Une effraction semble avoir été perpétrée. Le lieu de l’incident a été identifié comme 55 boulevard des Frênes, Sarlat. Des témoignages font état de le neveu."
tensions au sein d’une réunion d’association,terrain de pétanque,8 octobre 2024,"un notaire, un avocat","Un événement troublant a eu lieu. C’est dans les environs de terrain de pétanque que les faits se sont produits. 8 octobre 2024 correspondrait à la période des faits. un notaire, un avocat semble impliqué d’une manière ou d’une autre."
vol par ruse au domicile,Hautes-Alpes,12/2022,"Nina Barbier, une femme, une boulangère","Un acte de vol a été commis discrètement. Plusieurs sources mentionnent Hautes-Alpes comme contexte géographique. Le déroulement aurait eu lieu à 12/2022. La situation aurait impliqué Nina Barbier, une femme, une boulangère."
bagarre impliquant plusieurs individus,"chemin des Frênes, Sète",lundi 11 août 2003,"Gauthier, un facteur, le fiancé, une vieille dame, le fiancé, un journaliste","Une dispute s’est transformée en combat. Les informations pointent vers chemin des Frênes, Sète. Ce moment précis : lundi 11 août 2003, revient souvent. Gauthier, un facteur, le fiancé, une vieille dame, le fiancé, un journaliste figure dans les rapports initiaux."
activation d’un détecteur de mouvement sans présence visible,boulevard Paul Bert,le 16/09/2019 à 05h26,"une voisine, un passant, un inconnu","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de boulevard Paul Bert. le 16/09/2019 à 05h26 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une voisine, un passant, un inconnu est évoquée."
menaces verbales en pleine rue,place du marché,24/12/2023,"Fabre, Lemoine","Un événement troublant a eu lieu. La scène s’est produite à place du marché. Le moment exact reste flou, mais cela remonterait à 24/12/2023. Fabre, Lemoine aurait été directement concerné."
anomalie de clignotement sur un dispositif lumineux,Montévrain,12/11/2021,"Claire, un policier","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Montévrain. Les faits datent de 12/11/2021, d'après certaines sources. La présence de Claire, un policier est signalée sur les lieux."
vol à l’arraché,"110 impasse de la Paix, Chaumont",,,"Une disparition suspecte de biens a été signalée. 110 impasse de la Paix, Chaumont serait le le point de départ de l'incident."
chute d’un piéton sur trottoir glissant,chemin des Sources,4 juillet de l’année 2013,"Chevalier, Noël","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme chemin des Sources. La période de 4 juillet de l’année 2013 est mentionnée. Des témoignages font état de Chevalier, Noël."
ligne de LED éteinte au milieu d’une séquence,menhir du grand champ,26 octobre de l’année 2016,"Chevalier, Nina, un douanier, Claire Picard, un complice","Un événement troublant a eu lieu. C’est dans les environs de menhir du grand champ que les faits se sont produits. 26 octobre de l’année 2016 correspondrait à la période des faits. Chevalier, Nina, un douanier, Claire Picard, un complice semble impliqué d’une manière ou d’une autre."
vol de carte bancaire,chemin du Maréchal Foch,05/2014,Marie Renard,Un acte de vol a été commis discrètement. Plusieurs sources mentionnent chemin du Maréchal Foch comme contexte géographique. Le déroulement aurait eu lieu à 05/2014. La situation aurait impliqué Marie Renard.
vol de vélo avec agression,40596,09/2016,"quelqu’un, Marie Barbier, Gabriel Pires","Une disparition suspecte de biens a été signalée. Les informations pointent vers 40596. Ce moment précis : 09/2016, revient souvent. quelqu’un, Marie Barbier, Gabriel Pires figure dans les rapports initiaux."
sonnerie continue sans explication,gare routière,,"un policier, Claire","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de gare routière. Une implication possible de un policier, Claire est évoquée."
fuite de gaz,Gironde,27,"un plombier, une voisine, un tiers, une vieille dame, un plombier, un inconnu","Quelqu’un s’est éclipsé rapidement, éveillant les soupçons. La scène s’est produite à la Gironde. Le moment exact reste flou, mais cela remonterait à 27. un plombier, une voisine, un tiers, une vieille dame, un plombier, un inconnu aurait été directement concerné."
propos méprisants lors d’un repas de famille,porte de la vieille ville,13 mai 2010,"une infirmière, Lucas","Une dispute verbale a troublé l’atmosphère. On localise les faits dans la zone de porte de la vieille ville. Les faits datent de 13 mai 2010, d'après certaines sources. La présence de une infirmière, Lucas est signalée sur les lieux."
intrusion pendant une messe,arc de triomphe régional,,"un douanier, un passant, un ami, un jeune homme","Un fait divers a marqué les esprits. arc de triomphe régional serait le le point de départ de l'incident. un douanier, un passant, un ami, un jeune homme a été identifié comme partie prenante."
provocation à la haine dans un discours,"185 chemin Pasteur, Argentan",le soir,,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 185 chemin Pasteur, Argentan. La période de le soir est mentionnée."
détérioration d’un monument public,tour de l’horloge,,Paul,Un événement troublant a eu lieu. C’est dans les environs de tour de l’horloge que les faits se sont produits. Paul semble impliqué d’une manière ou d’une autre.
détection d’un mouvement inhabituel,"110 impasse Lavoisier, Digne-les-Bains",,"Élise Hubert, Claire Moreau, la sœur, Garnier, un homme","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 110 impasse Lavoisier, Digne-les-Bains comme contexte géographique. La situation aurait impliqué Élise Hubert, Claire Moreau, la sœur, Garnier, un homme."
provocation à la haine dans un discours,"halle des sports, Autun",11 juin 2025,"la patronne, Élise","Un fait divers a marqué les esprits. Les informations pointent vers halle des sports, Autun. Ce moment précis : 11 juin 2025, revient souvent. la patronne, Élise figure dans les rapports initiaux."
agression au poing américain,Lisieux,le 15/10/2004 à 03h03,"un résident, Sophie","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Lisieux. le 15/10/2004 à 03h03 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un résident, Sophie est évoquée."
conflit entre automobilistes,66873,19 mai 2015,"un employé de mairie, Sophie","Un événement troublant a eu lieu. La scène s’est produite à 66873. Le moment exact reste flou, mais cela remonterait à 19 mai 2015. un employé de mairie, Sophie aurait été directement concerné."
prise à partie d’un passant,Centre-Val de Loire,9/07,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Centre-Val de Loire. Les faits datent de 9/07, d'après certaines sources."
pic de chaleur détecté par capteur thermique,11646,3h8,un voisin,Un fait divers a marqué les esprits. 11646 serait le le point de départ de l'incident. On évoque 3h8 comme repère temporel. un voisin a été identifié comme partie prenante.
explosion de pneu sans blessé,"école communale, Saint-Paul",09h45,"une juge, une amie, un homme, une femme, Sophie Moreau","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme école communale, Saint-Paul. La période de 09h45 est mentionnée. Des témoignages font état de une juge, une amie, un homme, une femme, Sophie Moreau."
brûlure causée par un barbecue,Guyane,février,Barbier,Un événement troublant a eu lieu. C’est dans les environs de Guyane que les faits se sont produits. février correspondrait à la période des faits. Barbier semble impliqué d’une manière ou d’une autre.
activation spontanée d’un haut-parleur,tour de l’horloge,,"une infirmière, Lucas Lemoine","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent tour de l’horloge comme contexte géographique. La situation aurait impliqué une infirmière, Lucas Lemoine."
odeur métallique persistante dans un couloir,chemin Victor Hugo,avril,,"Un fait divers a marqué les esprits. Les informations pointent vers chemin Victor Hugo. Ce moment précis : avril, revient souvent."
violence sur agent de sécurité,"164 chemin des Acacias, Mâcon",le soir,le colocataire,"Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 164 chemin des Acacias, Mâcon. le soir : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de le colocataire est évoquée."
résidu poudreux sur un rebord de fenêtre,le local technique,,"un garagiste, un jeune homme, une amie, Picard","Un événement troublant a eu lieu. La scène s’est produite à le local technique. un garagiste, un jeune homme, une amie, Picard aurait été directement concerné."
accident de chantier sans gravité,6399,12,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 06399. Les faits datent de 12, d'après certaines sources."
jet de liquide corrosif,,06h12,"un tiers, la patronne, une femme, une voisine, Barbier","Un fait divers a marqué les esprits. On évoque 06h12 comme repère temporel. un tiers, la patronne, une femme, une voisine, Barbier a été identifié comme partie prenante."
présence d’un objet scellé avec du ruban adhésif noir,"71 avenue du Général Leclerc, Pontarlier",le 16/09/2019 à 05h26,le colocataire,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 71 avenue du Général Leclerc, Pontarlier. La période de le 16/09/2019 à 05h26 est mentionnée. Des témoignages font état de le colocataire."
arrachage de chaîne en or,Guadeloupe,août,Lucas,Un événement troublant a eu lieu. C’est dans les environs de Guadeloupe que les faits se sont produits. août correspondrait à la période des faits. Lucas semble impliqué d’une manière ou d’une autre.
crash d’un drone sur un passant,"182 rue des Acacias, Pontarlier",8h et 41 minutes,"quelqu’un, une connaissance","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 182 rue des Acacias, Pontarlier comme contexte géographique. Le déroulement aurait eu lieu à 8h et 41 minutes. La situation aurait impliqué quelqu’un, une connaissance."
trace de morsure sur une matière souple,la buanderie,2018/06/6,"un complice, un avocat, un jeune homme","Un fait divers a marqué les esprits. Les informations pointent vers la buanderie. Ce moment précis : 2018/06/6, revient souvent. un complice, un avocat, un jeune homme figure dans les rapports initiaux."
violences conjugales suspectées,rue Paul Bert,28 juin de l’année 2017,"un menuisier, une pharmacienne","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de rue Paul Bert. 28 juin de l’année 2017 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un menuisier, une pharmacienne est évoquée."
tentative de cambriolage,Seine-et-Marne,,la sœur,Un événement troublant a eu lieu. La scène s’est produite à la Seine-et-Marne. la sœur aurait été directement concerné.
accrochage verbal au café du coin,"110 impasse de la Paix, Chaumont",décembre,"un visiteur, un inconnu, un jeune homme, un résident, Thomas, le frère, Nina Barbier, Noël","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 110 impasse de la Paix, Chaumont. Les faits datent de décembre, d'après certaines sources. La présence de un visiteur, un inconnu, un jeune homme, un résident, Thomas, le frère, Nina Barbier, Noël est signalée sur les lieux."
tensions au sein d’une réunion d’association,77106,janvier 2017,,Un fait divers a marqué les esprits. 77106 serait le le point de départ de l'incident. On évoque janvier 2017 comme repère temporel.
harcèlement téléphonique,menhir du grand champ,29/10/2017,"un client, une femme, un menuisier","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme menhir du grand champ. La période de 29/10/2017 est mentionnée. Des témoignages font état de un client, une femme, un menuisier."
vol de colis dans un hall d’immeuble,Bretagne,11h51,"quelqu’un, un suspect, un voisin, la patronne, un journaliste, Camille Hubert","Des objets ont mystérieusement disparu. C’est dans les environs de Bretagne que les faits se sont produits. 11h51 correspondrait à la période des faits. quelqu’un, un suspect, un voisin, la patronne, un journaliste, Camille Hubert semble impliqué d’une manière ou d’une autre."
série de bips courts espacés,parc municipal,au crépuscule,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent parc municipal comme contexte géographique. Le déroulement aurait eu lieu à au crépuscule.
hurlements inexpliqués,rue Paul Bert,décembre 2016,"Moreau, Camille Hubert, Pires, Élise, Alice Barbier, un employé de mairie, la cousine, un client","Un fait divers a marqué les esprits. Les informations pointent vers rue Paul Bert. Ce moment précis : décembre 2016, revient souvent. Moreau, Camille Hubert, Pires, Élise, Alice Barbier, un employé de mairie, la cousine, un client figure dans les rapports initiaux."
oscillation amplifiée d’un support fixe,Sarrebourg,00h21,"une pharmacienne, la patronne","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Sarrebourg. 00h21 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une pharmacienne, la patronne est évoquée."
perçage de serrure,"terrain de pétanque, Argentan",,,"Un événement troublant a eu lieu. La scène s’est produite à terrain de pétanque, Argentan."
émission d’un souffle froid sans ventilation,"cimetière ancien, Lourdes",4h49,"une vieille dame, une voisine, Hugo Garnier","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de cimetière ancien, Lourdes. Les faits datent de 4h49, d'après certaines sources. La présence de une vieille dame, une voisine, Hugo Garnier est signalée sur les lieux."
émission d’un souffle chaud depuis une prise d’air,"172 boulevard de la République, Briançon",,un témoin,"Un fait divers a marqué les esprits. 172 boulevard de la République, Briançon serait le le point de départ de l'incident. un témoin a été identifié comme partie prenante."
clou recourbé planté dans un mur en hauteur,33495,01h05,"une pharmacienne, le neveu, Hugo Pires, un employé de mairie","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 33495. La période de 01h05 est mentionnée. Des témoignages font état de une pharmacienne, le neveu, Hugo Pires, un employé de mairie."
déclenchement d’un buzzer sans pression apparente,"école communale, Beaune",,"Antoine Picard, un médecin, le neveu, un témoin, un facteur, Lemoine","Un événement troublant a eu lieu. C’est dans les environs de école communale, Beaune que les faits se sont produits. Antoine Picard, un médecin, le neveu, un témoin, un facteur, Lemoine semble impliqué d’une manière ou d’une autre."
tir de mortier urbain,36972,30/12,une femme,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 36972 comme contexte géographique. Le déroulement aurait eu lieu à 30/12. La situation aurait impliqué une femme.
intimidation dans un parking souterrain,Mayenne,2024,un plombier,"Un fait divers a marqué les esprits. Les informations pointent vers Mayenne. Ce moment précis : 2024, revient souvent. un plombier figure dans les rapports initiaux."
électrocution mineure avec multiprise,Drôme,tôt dans la matinée,"une personne, un client, un employé de mairie","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de Drôme. tôt dans la matinée : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une personne, un client, un employé de mairie est évoquée."
braquage d’un commerce de proximité,85076,30/12,"un inconnu, un tiers, Emma Marchand, quelqu’un, le mari de Marie","Un événement troublant a eu lieu. La scène s’est produite à 85076. Le moment exact reste flou, mais cela remonterait à 30/12. un inconnu, un tiers, Emma Marchand, quelqu’un, le mari de Marie aurait été directement concerné."
clou recourbé planté dans un mur en hauteur,"120 impasse des Tilleuls, Millau",vers l’heure du dîner,"un suspect, un menuisier, la patronne","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 120 impasse des Tilleuls, Millau. Les faits datent de vers l’heure du dîner, d'après certaines sources. La présence de un suspect, un menuisier, la patronne est signalée sur les lieux."
effritement récent d’un coin de mur,"rue du Général Leclerc, Issoire",,"un homme, Hugo","Un fait divers a marqué les esprits. rue du Général Leclerc, Issoire serait le le point de départ de l'incident. un homme, Hugo a été identifié comme partie prenante."
manipulation anormale d’une grille,un parking souterrain,5h21,un ami,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme un parking souterrain. La période de 5h21 est mentionnée. Des témoignages font état de un ami.
dégradation volontaire d’un véhicule,64300,11h et 19 minutes,un avocat,Des objets ont mystérieusement disparu. C’est dans les environs de 64300 que les faits se sont produits. 11h et 19 minutes correspondrait à la période des faits. un avocat semble impliqué d’une manière ou d’une autre.
refus catégorique d’un voisin d’éteindre la musique,Mayotte,11/2025,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Mayotte comme contexte géographique. Le déroulement aurait eu lieu à 11/2025.
absence de réponse d’un bouton à pression,un gymnase,2022/06/14,la femme de Julien,"Un fait divers a marqué les esprits. Les informations pointent vers un gymnase. Ce moment précis : 2022/06/14, revient souvent. la femme de Julien figure dans les rapports initiaux."
insultes mutuelles dans une laverie,arc de triomphe régional,,"un employé de mairie, un agent immobilier, un douanier","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de arc de triomphe régional. Une implication possible de un employé de mairie, un agent immobilier, un douanier est évoquée."
détérioration d’un monument public,75991,4 juillet de l’année 2013,Élise,"Un événement troublant a eu lieu. La scène s’est produite à 75991. Le moment exact reste flou, mais cela remonterait à 4 juillet de l’année 2013. Élise aurait été directement concerné."
prise à partie d’un passant,Chinon,05/2008,Léa Perrin,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Chinon. Les faits datent de 05/2008, d'après certaines sources. La présence de Léa Perrin est signalée sur les lieux."
chant à voix haute en pleine nuit,"117 boulevard des Écoles, Brignoles",12h28,"Dupont, Élise Noël, le collègue de travail","Un fait divers a marqué les esprits. 117 boulevard des Écoles, Brignoles serait le le point de départ de l'incident. On évoque 12h28 comme repère temporel. Dupont, Élise Noël, le collègue de travail a été identifié comme partie prenante."
prise à partie dans un ascenseur,"86 avenue de la République, Barentin",dimanche,,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 86 avenue de la République, Barentin. La période de dimanche est mentionnée."
intrusion dans une zone protégée,basilique Sainte-Marie,11,"Mathis Barbier, un client","Un événement troublant a eu lieu. C’est dans les environs de basilique Sainte-Marie que les faits se sont produits. 11 correspondrait à la période des faits. Mathis Barbier, un client semble impliqué d’une manière ou d’une autre."
coupure volontaire de fibre optique,"139 boulevard des Acacias, Tulle",03/2025,le collègue de travail,"Un acte de vol a été commis discrètement. Plusieurs sources mentionnent 139 boulevard des Acacias, Tulle comme contexte géographique. Le déroulement aurait eu lieu à 03/2025. La situation aurait impliqué le collègue de travail."
mise hors service d’une caméra,,11/2011,"un chauffeur de taxi, un voisin, quelqu’un, un habitant, une pharmacienne, le collègue de travail","Un fait divers a marqué les esprits. Ce moment précis : 11/2011, revient souvent. un chauffeur de taxi, un voisin, quelqu’un, un habitant, une pharmacienne, le collègue de travail figure dans les rapports initiaux."
ralentissement brutal de la circulation,"171 chemin Victor Hugo, Lourdes",2022,"un passant, Moreau","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 171 chemin Victor Hugo, Lourdes. 2022 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un passant, Moreau est évoquée."
engueulade dans un bus bondé,Sarrebourg,6h28,un médecin,"Un événement troublant a eu lieu. La scène s’est produite à la Sarrebourg. Le moment exact reste flou, mais cela remonterait à 6h28. un médecin aurait été directement concerné."
menace verbale contre un enseignant,Guadeloupe,,"un passant, Moreau","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Guadeloupe. La présence de un passant, Moreau est signalée sur les lieux."
renversement de peinture sur une personne,rue Jean Jaurès,31 janvier 2017,,Un fait divers a marqué les esprits. rue Jean Jaurès serait le le point de départ de l'incident. On évoque 31 janvier 2017 comme repère temporel.
trace de morsure sur une matière souple,"110 impasse de la Paix, Chaumont",22h4,un client,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 110 impasse de la Paix, Chaumont. La période de 22h4 est mentionnée. Des témoignages font état de un client."
renversement de peinture sur une personne,39038,,"un client, un agent immobilier, le colocataire","Un événement troublant a eu lieu. C’est dans les environs de 39038 que les faits se sont produits. un client, un agent immobilier, le colocataire semble impliqué d’une manière ou d’une autre."
perçage de serrure,chemin Pasteur,jeudi,"Moreau, Claire","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent chemin Pasteur comme contexte géographique. Le déroulement aurait eu lieu à jeudi. La situation aurait impliqué Moreau, Claire."
regard jugé provocateur entraînant une dispute,,12/02,,"Un fait divers a marqué les esprits. Ce moment précis : 12/02, revient souvent."
friction sèche entre deux surfaces dures,"118 rue Gambetta, Beaune",13 décembre,Hubert,"Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 118 rue Gambetta, Beaune. 13 décembre : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Hubert est évoquée."
coupure volontaire de fibre optique,statue de Jeanne d’Arc,4 juillet de l’année 2013,"un homme, Hugo","Des objets ont mystérieusement disparu. La scène s’est produite à statue de Jeanne d’Arc. Le moment exact reste flou, mais cela remonterait à 4 juillet de l’année 2013. un homme, Hugo aurait été directement concerné."
engueulade dans un bus bondé,"menhir du grand champ, Cavaillon",31 octobre de l’année 2020,"un témoin, une personne","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de menhir du grand champ, Cavaillon. Les faits datent de 31 octobre de l’année 2020, d'après certaines sources. La présence de un témoin, une personne est signalée sur les lieux."
invasion d’un stade sans autorisation,chapelle des pénitents,le matin,"un habitant, le neveu, un visiteur, Léa Fabre","Un fait divers a marqué les esprits. chapelle des pénitents serait le le point de départ de l'incident. On évoque le matin comme repère temporel. un habitant, le neveu, un visiteur, Léa Fabre a été identifié comme partie prenante."
vol d’un deux-roues en stationnement,"boulevard des Sources, Morlaix",18 décembre,"un complice, un ami","Une effraction semble avoir été perpétrée. Le lieu de l’incident a été identifié comme boulevard des Sources, Morlaix. La période de 18 décembre est mentionnée. Des témoignages font état de un complice, un ami."
absence de réponse d’un bouton à pression,Calvados,dimanche 15 août 2004,"un voisin, Pires, quelqu’un","Un événement troublant a eu lieu. C’est dans les environs de Calvados que les faits se sont produits. dimanche 15 août 2004 correspondrait à la période des faits. un voisin, Pires, quelqu’un semble impliqué d’une manière ou d’une autre."
apparition d’une tache foncée sur le sol,Limousin,le 27/02/2019 à 18h07,une juge,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Limousin comme contexte géographique. Le déroulement aurait eu lieu à le 27/02/2019 à 18h07. La situation aurait impliqué une juge.
accusation publique de vol entre connaissances,Vire,30/01,"un habitant, le fiancé","Une disparition suspecte de biens a été signalée. Les informations pointent vers Vire. Ce moment précis : 30/01, revient souvent. un habitant, le fiancé figure dans les rapports initiaux."
usage illégal de gaz lacrymogène,39985,2008/09/5,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 39985. 2008/09/5 : c’est ce qu’indiquent plusieurs témoignages.
accident de trottinette,statue de Jeanne d’Arc,17 novembre,un garagiste,"Un événement troublant a eu lieu. La scène s’est produite à statue de Jeanne d’Arc. Le moment exact reste flou, mais cela remonterait à 17 novembre. un garagiste aurait été directement concerné."
choc avec un meuble déplacé,Occitanie,22h39,Camille,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Occitanie. Les faits datent de 22h39, d'après certaines sources. La présence de Camille est signalée sur les lieux."
attaque de distributeur automatique,boulevard de la Paix,13 mai 2010,"un enseignant, la cousine","Un fait divers a marqué les esprits. boulevard de la Paix serait le le point de départ de l'incident. On évoque 13 mai 2010 comme repère temporel. un enseignant, la cousine a été identifié comme partie prenante."
accès non autorisé à un bâtiment,"136 boulevard Lavoisier, Mayenne",,,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 136 boulevard Lavoisier, Mayenne."
bruit sec suivi d’un silence prolongé,"colonne commémorative, Louviers",,un habitant,"Un événement troublant a eu lieu. C’est dans les environs de colonne commémorative, Louviers que les faits se sont produits. un habitant semble impliqué d’une manière ou d’une autre."
sonnerie continue sans explication,"impasse des Lilas, Die",,"un voisin, un inconnu, un ingénieur, un individu, Hugo Garnier","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent impasse des Lilas, Die comme contexte géographique. La situation aurait impliqué un voisin, un inconnu, un ingénieur, un individu, Hugo Garnier."
dispute autour d’un ballon dans une cour,avenue Jean Jaurès,30/01,un jeune homme,"Un fait divers a marqué les esprits. Les informations pointent vers avenue Jean Jaurès. Ce moment précis : 30/01, revient souvent. un jeune homme figure dans les rapports initiaux."
buée intense sur un miroir froid,Issoire,21 septembre de l’année 2023,"un menuisier, le colocataire, Sophie","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Issoire. 21 septembre de l’année 2023 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un menuisier, le colocataire, Sophie est évoquée."
morsure d’un animal domestique,école communale,,"Renard, Thomas, un menuisier, une femme, le colocataire, Marchand","Un événement troublant a eu lieu. La scène s’est produite à école communale. Renard, Thomas, un menuisier, une femme, le colocataire, Marchand aurait été directement concerné."
éclat de peinture fraîche dans un lieu clos,chemin Lavoisier,9 septembre,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de chemin Lavoisier. Les faits datent de 9 septembre, d'après certaines sources."
sonnerie prolongée sans réponse,école communale,,un chauffeur de taxi,Un fait divers a marqué les esprits. école communale serait le le point de départ de l'incident. un chauffeur de taxi a été identifié comme partie prenante.
usage illégal de gaz lacrymogène,Marne,10h53,Claire,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Marne. La période de 10h53 est mentionnée. Des témoignages font état de Claire.
vol dans un vestiaire,"mairie, Chaumont",04/2023,,"Des objets ont mystérieusement disparu. C’est dans les environs de mairie, Chaumont que les faits se sont produits. 04/2023 correspondrait à la période des faits."
pulsation lumineuse à travers une fente,fontaine aux lions,octobre,"un passant, une connaissance, quelqu’un, un inconnu, un enseignant, une amie, une vieille dame","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent fontaine aux lions comme contexte géographique. Le déroulement aurait eu lieu à octobre. La situation aurait impliqué un passant, une connaissance, quelqu’un, un inconnu, un enseignant, une amie, une vieille dame."
glissade sur carrelage mouillé,Guadeloupe,lundi 11 août 2003,un garagiste,"Un fait divers a marqué les esprits. Les informations pointent vers Guadeloupe. Ce moment précis : lundi 11 août 2003, revient souvent. un garagiste figure dans les rapports initiaux."
agression d’un surveillant scolaire,40596,2024,"un témoin, la patronne, le frère","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 40596. 2024 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un témoin, la patronne, le frère est évoquée."
émission d’un souffle froid sans ventilation,impasse Victor Hugo,,Marie Marchand,Un événement troublant a eu lieu. La scène s’est produite à impasse Victor Hugo. Marie Marchand aurait été directement concerné.
dégradation volontaire d’un véhicule,Hauts-de-France,,"une infirmière, un voisin, Emma Lemoine","Un acte de vol a été commis discrètement. On localise les faits dans la zone de Hauts-de-France. La présence de une infirmière, un voisin, Emma Lemoine est signalée sur les lieux."
acte de cruauté sur animal,73199,29/07/2013,"la cousine, un plombier, Nina Adam, un journaliste","Un fait divers a marqué les esprits. 73199 serait le le point de départ de l'incident. On évoque 29/07/2013 comme repère temporel. la cousine, un plombier, Nina Adam, un journaliste a été identifié comme partie prenante."
conflit entre automobilistes,fort Vauban,octobre,"un suspect, un plombier, un suspect, un visiteur, un garagiste, la sœur","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme fort Vauban. La période de octobre est mentionnée. Des témoignages font état de un suspect, un plombier, un suspect, un visiteur, un garagiste, la sœur."
pulsation lumineuse irrégulière d’un témoin,95157,01/2003,"un agent immobilier, un voisin, Gabriel, le mari de Marie, Claire","Un événement troublant a eu lieu. C’est dans les environs de 95157 que les faits se sont produits. 01/2003 correspondrait à la période des faits. un agent immobilier, un voisin, Gabriel, le mari de Marie, Claire semble impliqué d’une manière ou d’une autre."
tentative de cambriolage,"190 rue de l’Égalité, Annonay",,"un habitant, une connaissance","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 190 rue de l’Égalité, Annonay comme contexte géographique. La situation aurait impliqué un habitant, une connaissance."
stationnement anormalement long,porte de la vieille ville,05/2008,"un passant, le colocataire","Un fait divers a marqué les esprits. Les informations pointent vers porte de la vieille ville. Ce moment précis : 05/2008, revient souvent. un passant, le colocataire figure dans les rapports initiaux."
intervention d’un tiers pour séparer deux personnes,"164 impasse Paul Bert, Carpentras",8/02/2023,"une pharmacienne, un inconnu, la patronne, un facteur, quelqu’un","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 164 impasse Paul Bert, Carpentras. 8/02/2023 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une pharmacienne, un inconnu, la patronne, un facteur, quelqu’un est évoquée."
tir de mortier urbain,"64 chemin Paul Bert, Barentin",,un habitant,"Un événement troublant a eu lieu. La scène s’est produite à 64 chemin Paul Bert, Barentin. un habitant aurait été directement concerné."
réplique agressive lors d’un débat public,Haute-Vienne,29/10/2017,"Julien, Fontaine","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Haute-Vienne. Les faits datent de 29/10/2017, d'après certaines sources. La présence de Julien, Fontaine est signalée sur les lieux."
